Œ¿–«±Í ∂,PRN,tk,X,Y,Z,clockBias
C,39,886,-16430292.3,19801639.7,33417015.8,-7.16894257e-06
C,40,886,-24675661.7,32460905.8,-11268269.4,-5.71082692e-05
C,41,886,14254126.9,-23949219.5,1321605.96,-0.000892866618
C,42,886,13030151.5,8826271.65,23092488,-0.000453243249
C,43,886,27324157.7,-4108522.35,3996510.5,6.09701633e-05
C,44,886,6983867.84,15431967.4,-22195969.7,0.000388689381
C,45,886,-6867087.99,17387066.1,20701147.4,-7.09466914e-05
C,46,886,-18974115.6,-17854826,10039317,-0.00012494406
C,59,886,-32340484.5,26981229.5,-2110370.74,-1.39792498e-07
C,60,886,7308353.14,41290287.4,-4379502.91,-2.23774379e-07
C,62,886,-39633570.4,14414070.2,-315890.687,2.43250197e-07
C,1,1186,-34352948.3,24275870.9,-2720981.54,0.000885075368
C,2,1186,4460386.62,41854396.4,-2991395.88,0.000440146258
C,3,1186,-14770452,39345829.8,-3640578.16,-1.75302694e-05
C,4,1186,-39633496.3,14189118.1,-2001813.94,0.000835322398
C,5,1186,21893110.5,35959067.5,-2313083.33,-0.000746190171
C,6,1186,-7420602.14,23497383.5,34261796.3,0.000119265592
C,7,1186,-16821169,36945326.9,-11680276.2,-0.000823912873
C,8,1186,-1500870.39,36906947,-20123533.4,2.75557897e-05
C,9,1186,2314647.23,26179944.4,33524051.2,-0.000509007776
C,10,1186,-10747855.7,37137637.6,-17120232.9,7.93456393e-05
C,11,1186,27418741.6,2804627.45,-4289074.23,0.000417872578
C,12,1186,15228227.9,12796378.4,-19535303.7,0.000766666089
C,13,1186,4401760.45,39906443.1,-12222027.9,0.000418564174
C,14,1186,17167854.4,-534613.957,21998498.3,0.000221515594
C,16,1186,-10058277.8,22161644.2,34682399.8,-0.000347905486
C,19,1186,-18972189,10751614.7,-17398882,-0.000925551261
C,20,1186,-13536147.6,-7790239.98,-23111227.3,-0.000176338763
C,21,1186,-706380.958,23369623.2,15273650.9,-0.000961887832
C,22,1186,-13877873.4,24189266.5,-1362763.64,-0.000104617809
C,23,1186,7468933.71,-16719936.1,-21063974.9,-0.000780208563
C,24,1186,18944978.5,18680655.4,-8398429.26,0.000897324104
