Œ¿–«±Í ∂,PRN,tk,X,Y,Z,clockBias
G,5,1800,-6648031.56,-24850253.2,-6584238.76,-0.000162305032
G,6,1800,10175145.3,-10935864.4,22039789.3,0.000401600247
G,7,1800,23921506,3833900.76,-10922863.4,-6.52713211e-05
G,8,1800,8383073.04,12905447.4,-21737757.8,-0.000167689815
G,9,1800,23068070,-5042597.75,12137396.8,9.68206178e-05
G,10,1800,-10897733.2,16615669,-17253131.4,9.58404144e-07
G,11,1800,-2096957.83,-17334228.7,20052919.7,-0.000580447441
G,12,1800,-10633589.6,-18035685.8,16095499,-0.00047934248
G,13,1800,2312320.75,-16579948.9,-20769024.1,0.000626831077
G,14,24,13491492,-12746325.4,-18906352.6,0.000329380926
G,15,1800,-9883459.93,-12606420,-21672769,0.000129164973
G,16,1800,-173637.65,26276395.1,-1629068.31,-0.000359571013
G,17,1800,23110423.8,-13252222.9,812985.831,0.000716581259
G,18,1800,-23170081,-2845479.63,-12824921.6,-0.000558594453
G,19,1800,18671235.8,-16128541.6,9148869.34,0.000442613572
G,20,1800,-291503.074,-25671530.5,7192983.66,0.000386987992
G,21,1800,17993324.6,16207375.4,-11491673.5,0.000134494025
G,22,1800,10472572.2,-20244148.5,-13448516.1,2.90052398e-05
G,23,1800,-14567964.5,3487795.63,-21898027.3,0.000159151778
G,24,1800,-19411532.3,-15855039.1,-9801059.24,-0.000433986836
G,25,1800,-15035667.8,-6846109.18,20509630.2,0.000488975784
G,26,1800,-4780042.89,23858862.2,10046482.3,0.000188729636
G,27,1800,-4809389.26,18403792.4,-18629356.2,-5.20840952e-06
G,28,1800,-12775117.2,10063567.2,20976834.3,-0.000135744445
G,29,1800,-22874436.1,1721723.82,13425149.4,-0.000606680054
G,30,1800,18170538.8,-5757463.51,-18472622.5,-0.000430780488
G,31,1800,-3490388.29,15251764.8,21205282.7,-0.000227813327
G,32,1800,-20769233.7,16075366.6,3310193.2,-0.000612333492
G,1,2100,23526484,12722985.6,-428124.569,0.000170091068
G,2,2100,20924365.7,14262733.1,-7935427.45,-0.000483229188
G,3,2100,11745950.9,17497171.2,16097891.3,0.000201966972
G,4,2100,15183450.9,7412916.88,20539466.5,0.00029512736
G,5,2100,-6595398.64,-25083345.6,-5662232.46,-0.000162305477
G,6,2100,10903903.9,-10540777.1,21885916.7,0.000401595963
G,7,2100,24258588,4092759.35,-10105736.7,-6.52739198e-05
G,8,2100,7701684.34,13364814.2,-21699478.3,-0.0001676901
G,9,2100,22709957,-4714349.72,12912912.7,9.6824389e-05
G,10,2100,-10976522.5,15935656.2,-17837421.1,9.57748338e-07
G,11,2100,-1416713.16,-16975807.2,20414920.7,-0.000580451151
G,12,2100,-10562590.9,-18650042,15442420.7,-0.000479344132
G,13,2100,3025438.67,-16876840.6,-20425666,0.000626832554
G,14,324,13555929.9,-12014199.6,-19339865.2,0.000329383684
G,15,2100,-9282069.75,-13124698.7,-21623772.4,0.000129167609
G,16,2100,-269604.946,26305014.1,-667725.636,-0.000359569403
G,17,2100,23143101.7,-13188567.7,-143000.821,0.000716581201
G,18,2100,-23559252.1,-3117372.61,-12034540.6,-0.00055859662
G,19,2100,19012930.5,-16211392.4,8263675.62,0.000442614243
G,20,2100,-147277.967,-25409478.6,8076122.42,0.000386987962
G,21,2100,17542906.9,16081588.9,-12274230.4,0.000134494476
G,22,2100,10512089.9,-19697456.4,-14177688.3,2.90030016e-05
G,23,2100,-14639814.5,2654719.08,-21972252,0.000159154133
G,24,2100,-19037883.3,-15796201.8,-10617053.7,-0.000433987357
G,25,2100,-15060136.4,-7644457.17,20220417.5,0.000488975294
G,26,2100,-4937958.67,23465063.1,10863886.4,0.000188727517
G,27,2100,-5412290.19,18737956.2,-18103210,-5.20918195e-06
G,28,2100,-13483724.5,9701486.76,20702230.4,-0.000135748362
G,29,2100,-22437784.6,1422725.23,14170479.9,-0.00060667975
G,30,2100,18769711,-5387443.2,-17990245.4,-0.000430779036
G,31,2100,-4227150.2,14874063.5,21349604.6,-0.000227814134
G,32,2100,-20902343.9,16057376.8,2361139.3,-0.000612334422
G,1,2400,23485516.9,12755088.9,-1392657.99,0.000170092264
G,2,2400,20584820.8,14205571.9,-8814428.49,-0.00048322754
G,3,2400,11743447,18104211.2,15423776.2,0.000201973984
G,4,2400,14529765.8,7850050.23,20843852.6,0.000295130291
G,5,2400,-6542734.52,-25282643.2,-4729367.61,-0.000162305946
G,6,2400,11634082.9,-10162629.3,21690463,0.000401591687
G,7,2400,24571907.1,4331541.62,-9269337.84,-6.52764402e-05
G,8,2400,7029676.89,13834786.7,-21619954.7,-0.000167690424
G,9,2400,22334026.7,-4363257,13663666.3,9.68281483e-05
G,10,2400,-11069158.6,15235660.4,-18386608,9.57100185e-07
G,11,2400,-718887.158,-16623268.7,20737965.7,-0.000580454865
G,12,2400,-10502441.8,-19239903.3,14759293.7,-0.000479345752
G,13,2400,3721137.81,-17180716,-20043678.8,0.000626834003
G,14,624,13633071.1,-11267758.4,-19736091.5,0.000329386456
G,15,2400,-8690963.87,-13651284.4,-21535126.6,0.000129170222
G,16,2400,-364684.199,26298609.9,294931.093,-0.000359567841
G,17,2400,23146102.3,-13106970.5,-1098715.25,0.000716581087
G,18,2400,-23926422.8,-3368292.04,-11221318.5,-0.000558598777
G,19,2400,19322891.7,-16284350.6,7362216.35,0.000442614925
G,20,2400,9265.33979,-25118071.7,8943974.57,0.000386987935
G,21,2400,17062558.9,15953815.1,-13033852.3,0.000134494825
G,22,2400,10560764.9,-19123926.5,-14879368.3,2.90007019e-05
G,23,2400,-14727032,1821297.66,-22004300.5,0.000159156504
G,24,2400,-18635660.8,-15732850.7,-11413523.5,-0.000433987849
G,25,2400,-15096931.4,-8430129.81,19891544.3,0.000488974843
G,26,2400,-5106367.71,23043491.2,11659927.1,0.000188725397
G,27,2400,-5992873.02,19071312.9,-17542603.2,-5.21000776e-06
G,28,2400,-14188394.8,9356362.78,20387916.8,-0.000135752278
G,29,2400,-21982543.4,1102174.08,14888727.2,-0.000606679457
G,30,2400,19357689.6,-5035651.26,-17473392.1,-0.000430777554
G,31,2400,-4973958.22,14506817.8,21452124.9,-0.000227814907
G,32,2400,-21006178.2,16021170.6,1407514.5,-0.000612335382
G,1,2700,23412896.9,12771905.6,-2354584.88,0.000170093503
G,2,2700,20212915.9,14143446,-9676471.43,-0.000483225963
G,3,2700,11749979.3,18685026.6,14720012.6,0.000201981018
