tk,Œ¿–«±‡∫≈,X,Y,Z,÷”≤Ó
35,PG17,23143.102972,-13188.566952,-143.001841,716.541393
35,PG18,-23559.253724,-3117.374056,-12034.541568,-558.598491
35,PG19,19012.931645,-16211.392414,8263.674849,442.605911
35,PG20,-147.277464,-25409.479749,8076.122750,386.981589
35,PG21,17542.908274,16081.589352,-12274.230281,134.429589
35,PG22,10512.091076,-19697.457029,-14177.688304,28.961531
35,PG23,-14639.815214,2654.719962,-21972.253853,159.155703
35,PG24,-19037.884599,-15796.202957,-10617.053503,-433.968817
35,PG25,-15060.137029,-7644.459613,20220.418168,489.002547
35,PG26,-4937.958741,23465.064964,10863.886304,188.734703
35,PG27,-5412.290903,18737.957190,-18103.211123,-5.234501
35,PG28,-13483.726118,9701.486706,20702.231710,-135.756159
35,PG29,-22437.785546,1422.725792,14170.480075,-606.693340
35,PG30,18769.711893,-5387.444502,-17990.246228,-430.759160
35,PG31,-4227.150565,14874.064181,21349.604969,-227.811176
35,PG32,-20902.345580,16057.377597,2361.138687,-612.347491
40,PG01,23485.517696,12755.089566,-1392.656847,170.123318
40,PG02,20584.821047,14205.572691,-8814.427983,-483.282209
40,PG03,11743.446912,18104.212990,15423.776375,201.986963
40,PG04,14529.767296,7850.050067,20843.854033,295.121318
40,PG05,-6542.734011,-25282.644253,-4729.367512,-162.329810
40,PG06,11634.082600,-10162.630337,21690.464181,401.599074
40,PG07,24571.907506,4331.543291,-9269.337720,-65.247922
40,PG08,7029.678774,13834.786560,-21619.956461,-167.708914
40,PG09,22334.028213,-4363.257075,13663.666443,96.824724
40,PG10,-11069.158302,15235.663396,-18386.608064,0.969517
40,PG11,-718.887617,-16623.269823,20737.967019,-580.464406
40,PG12,-10502.441402,-19239.904264,14759.294108,-479.340703
40,PG13,3721.137987,-17180.717143,-20043.679664,626.808616
40,PG14,13633.072747,-11267.758713,-19736.092634,329.386876
40,PG15,-8690.964563,-13651.284903,-21535.126971,129.147260
40,PG16,-364.685046,26298.611193,294.931078,-359.600710
40,PG17,23146.103567,-13106.969691,-1098.716320,716.540839
40,PG18,-23926.424439,-3368.293553,-11221.319469,-558.600960
40,PG19,19322.892811,-16284.350611,7362.215603,442.607483
40,PG20,9.265811,-25118.072890,8943.974900,386.980830
40,PG21,17062.560120,15953.815611,-13033.852406,134.429108
40,PG22,10560.766074,-19123.927123,-14879.368358,28.959585
40,PG23,-14727.032775,1821.298471,-22004.302328,159.158146
40,PG24,-18635.662140,-15732.851830,-11413.523346,-433.970674
40,PG25,-15096.931959,-8430.132292,19891.544829,489.002892
40,PG26,-5106.367808,23043.493000,11659.927093,188.733480
40,PG27,-5992.873781,19071.313847,-17542.604331,-5.235483
40,PG28,-14188.396458,9356.362709,20387.918062,-135.760021
40,PG29,-21982.544345,1102.174644,14888.727439,-606.693212
40,PG30,19357.690456,-5035.652555,-17473.392920,-430.757649
40,PG31,-4973.958591,14506.818539,21452.125303,-227.811040
40,PG32,-21006.179895,16021.171424,1407.513828,-612.348055
45,PG01,23412.897775,12771.906258,-2354.583777,170.123750
45,PG02,20212.916028,14143.446898,-9676.471099,-483.280245
45,PG03,11749.979237,18685.028442,14720.012701,201.994113
45,PG04,13874.834767,8304.600781,21108.487080,295.124120
45,PG05,-6488.619902,-25447.856237,-3787.426299,-162.330519
45,PG06,12363.895673,-9801.987222,21453.810192,401.594562
45,PG07,24860.263029,4550.993471,-8415.302782,-65.250609
45,PG08,6368.431389,14314.224232,-21499.291124,-167.708955
45,PG09,21941.811843,-3989.075884,14388.208916,96.828518
45,PG10,-11176.346666,14517.356517,-18899.621218,0.969797
45,PG11,-4.762410,-16277.856965,21021.436478,-580.468202
45,PG12,-10452.149652,-19803.987991,14047.474970,-479.341960
45,PG13,4398.151068,-17490.328257,-19623.751982,626.809533
45,PG14,13723.407163,-10508.660039,-20094.285490,329.389909
45,PG15,-8111.269492,-14184.971272,-21406.965954,129.148477
45,PG16,-460.267774,26257.113468,1257.005818,-359.598331
45,PG17,23120.157993,-13006.220336,-2052.340791,716.540242
45,PG18,-24270.183692,-3598.878893,-10386.806330,-558.603433
45,PG19,19601.137580,-16345.930507,6446.270291,442.609070
45,PG20,179.169074,-24798.288047,9794.898789,386.980587
45,PG21,16552.793297,15825.437936,-13769.044387,134.428746
45,PG22,10619.638416,-18524.753340,-15552.143425,28.957615
45,PG23,-14829.480847,989.404305,-21994.134579,159.160573
45,PG24,-18205.273918,-15666.338455,-12189.021242,-433.972520
45,PG25,-15145.442113,-9201.457955,19523.701632,489.003202
45,PG26,-5286.211084,22595.257183,12433.040143,188.732246
45,PG27,-6550.361489,19402.335907,-16948.550142,-5.236452
45,PG28,-14887.367304,9028.481270,20034.497905,-135.763895
45,PG29,-21510.302080,759.750751,15578.509678,-606.692790
45,PG30,19932.865309,-4702.078270,-16923.083435,-430.756143
45,PG31,-5729.238907,14151.005904,21512.685916,-227.811089
45,PG32,-21081.376090,15965.507604,451.161827,-612.348648
50,PG01,23308.145629,12774.839971,-3312.109347,170.124203
50,PG02,19808.920606,14077.798963,-10519.858362,-483.278603
50,PG03,11764.379342,19238.433881,13987.971388,202.001261
50,PG04,13220.330145,8775.932199,21332.849099,295.126934
50,PG05,-6431.628983,-25578.803110,-2838.211051,-162.330728
50,PG06,13091.534711,-9459.309540,21176.414025,401.590054
50,PG07,25122.525865,4751.936226,-7545.293665,-65.253420
50,PG08,5719.259059,14801.911807,-21337.664296,-167.709071
50,PG09,21534.873224,-3591.663868,15085.140971,96.832350
50,PG10,-11298.698276,13782.467227,-19375.463021,0.970065
50,PG11,724.303383,-15940.744591,21264.786025,-580.471972
50,PG12,-10410.654741,-20341.097193,13308.374389,-479.343028
50,PG13,5055.290698,-17804.363355,-19166.644957,626.810732
50,PG14,13827.332756,-9738.598723,-20413.772203,329.392893
50,PG15,-7544.042521,-14724.490972,-21239.493203,129.149592
50,PG16,-557.744691,26180.568328,2216.598326,-359.595746
50,PG17,23066.089493,-12885.170332,-3002.055087,716.540256
50,PG18,-24589.183164,-3809.858872,-9532.591222,-558.605921
50,PG19,19847.797240,-16394.668447,5517.646306,442.610700
50,PG20,363.410675,-24451.185459,10627.284620,386.980250
50,PG21,16014.224583,15697.815625,-14478.346684,134.428325
50,PG22,10689.679214,-17901.216070,-16194.652642,28.955784
50,PG23,-14946.919024,160.897571,-21941.791847,159.162997
50,PG24,-17747.220831,-15597.996482,-12942.139093,-433.974376
50,PG25,-15204.968504,-9956.819188,19117.655687,489.003536
50,PG26,-5478.362762,22121.548146,13181.707610,188.731014
50,PG27,-7084.073799,19729.464862,-16322.128587,-5.237434
50,PG28,-15578.874176,8718.026545,19642.649506,-135.767765
50,PG29,-21022.684024,395.236010,16238.498280,-606.692616
50,PG30,20493.649326,-4386.613645,-16340.400069,-430.754625
50,PG31,-6491.367732,13807.516365,21531.212737,-227.811321
50,PG32,-21128.667297,15889.204089,-506.065039,-612.349235
55,PG01,23170.886356,12765.331291,-4263.451388,170.124648
55,PG02,19373.217287,14010.062901,-11342.921190,-483.276976
55,PG03,11785.417711,19763.337566,13229.076061,202.008424
55,PG04,12567.898666,9263.310345,21516.498395,295.129821
55,PG05,-6370.333413,-25675.417007,-1883.540792,-162.331599
55,PG06,13815.177026,-9134.952580,20858.810359,401.585541
55,PG07,25357.642931,4935.271830,-6660.994640,-65.255996
55,PG08,5083.407590,15296.563588,-21135.334531,-167.708967
55,PG09,21114.802060,-3170.981686,15753.115494,96.836188
55,PG10,-11436.726006,13032.773988,-19813.211711,0.970386
55,PG11,1466.879761,-15613.034491,21467.547503,-580.475778
55,PG12,-10376.833226,-20850.125384,12543.453881,-479.344236
55,PG13,5691.453810,-18121.452565,-18673.190815,626.811890
55,PG14,13945.153410,-8959.299624,-20693.955611,329.395925
55,PG15,-6990.267916,-15268.520393,-21032.981798,129.150908
55,PG16,-658.498734,26069.138277,3171.808641,-359.593294
55,PG17,22984.809858,-12742.738431,-3946.040077,716.539924
55,PG18,-24882.142959,-4002.047711,-8660.299351,-558.608368
55,PG19,20063.115996,-16429.129907,4578.175078,442.612070
55,PG20,562.900581,-24077.904277,11439.557387,386.979649
55,PG21,15447.574637,15572.277679,-15160.338499,134.428257
55,PG22,10771.785472,-17254.677495,-16805.590317,28.954034
55,PG23,-15079.004624,-662.380900,-21847.396269,159.165450
